Instance,firstObjective,finalObjective,time(s)
B-n39-k5-r8_3_2_1.00,225.09,190.69,1.30
B-n39-k5-r8_3_2_2.00,216.67,188.70,1.03
B-n39-k5-r8_1_3_0.50,188.57,186.70,0.84
B-n39-k5-r8_1_3_1.00,193.51,172.55,0.75
B-n39-k5-r8_1_3_2.00,202.36,172.55,0.80
B-n39-k5-r8_2_3_0.50,193.83,172.55,0.85
B-n39-k5-r8_2_3_1.00,199.84,172.55,0.87
B-n39-k5-r8_2_3_2.00,207.40,172.55,0.89
B-n39-k5-r8_3_3_0.50,200.76,172.55,0.99
B-n39-k5-r8_3_3_1.00,195.77,172.55,0.75
B-n39-k5-r8_3_3_2.00,186.70,172.55,0.78
B-n39-k5-r8_1_4_0.50,192.86,178.28,1.00
B-n39-k5-r8_1_4_1.00,186.87,172.55,0.74
B-n39-k5-r8_1_4_2.00,204.76,172.55,0.76
B-n39-k5-r8_2_4_0.50,186.79,172.55,0.84
B-n39-k5-r8_2_4_1.00,199.07,172.55,0.84
B-n39-k5-r8_2_4_2.00,190.97,172.55,0.81
B-n39-k5-r8_3_4_0.50,186.71,172.55,0.82
B-n39-k5-r8_3_4_1.00,183.05,172.55,0.75
B-n39-k5-r8_3_4_2.00,189.75,172.55,0.74
B-n39-k5-r8_1_5_0.50,187.03,178.28,0.80
B-n39-k5-r8_1_5_1.00,184.81,172.55,0.75
B-n39-k5-r8_1_5_2.00,186.12,172.55,0.87
B-n39-k5-r8_2_5_0.50,188.22,172.55,0.73
B-n39-k5-r8_2_5_1.00,172.55,172.55,0.70
B-n39-k5-r8_2_5_2.00,187.26,172.55,0.72
B-n39-k5-r8_3_5_0.50,186.95,172.55,0.74
B-n39-k5-r8_3_5_1.00,190.29,172.55,0.77
B-n39-k5-r8_3_5_2.00,178.28,172.55,0.73
B-n39-k5-r12_1_2_0.50,221.89,208.21,1.81
B-n39-k5-r12_1_2_1.00,255.63,180.62,2.73
B-n39-k5-r12_1_2_2.00,238.84,186.85,3.89
B-n39-k5-r12_2_2_0.50,217.04,185.09,1.93
B-n39-k5-r12_2_2_1.00,193.74,171.08,1.98
B-n39-k5-r12_2_2_2.00,238.62,172.87,2.10
B-n39-k5-r12_3_2_0.50,231.87,173.46,2.03
B-n39-k5-r12_3_2_1.00,208.66,187.56,3.71
B-n39-k5-r12_3_2_2.00,201.80,171.08,1.18
B-n39-k5-r12_1_3_0.50,213.97,188.22,1.00
B-n39-k5-r12_1_3_1.00,224.82,175.64,1.45
B-n39-k5-r12_1_3_2.00,181.98,164.21,0.79
B-n39-k5-r12_2_3_0.50,222.58,175.96,1.30
B-n39-k5-r12_2_3_1.00,196.95,164.21,0.81
B-n39-k5-r12_2_3_2.00,196.08,164.21,0.76
B-n39-k5-r12_3_3_0.50,210.49,164.21,0.82
B-n39-k5-r12_3_3_1.00,164.21,164.21,0.72
B-n39-k5-r12_3_3_2.00,200.42,164.21,0.76
B-n39-k5-r12_1_4_0.50,192.05,182.43,0.98
B-n39-k5-r12_1_4_1.00,193.97,175.64,1.10
B-n39-k5-r12_1_4_2.00,178.28,164.21,0.94
B-n39-k5-r12_2_4_0.50,187.18,178.28,1.11
B-n39-k5-r12_2_4_1.00,186.87,164.21,0.77
B-n39-k5-r12_2_4_2.00,191.43,164.21,0.73
B-n39-k5-r12_3_4_0.50,183.52,164.21,0.89
B-n39-k5-r12_3_4_1.00,194.42,164.21,0.76
B-n39-k5-r12_3_4_2.00,164.38,164.21,0.86
B-n39-k5-r12_1_5_0.50,188.32,181.57,1.04
B-n39-k5-r12_1_5_1.00,186.70,175.39,0.96
B-n39-k5-r12_1_5_2.00,164.21,164.21,0.76
B-n39-k5-r12_2_5_0.50,188.32,175.39,1.04
B-n39-k5-r12_2_5_1.00,186.83,164.21,0.85
B-n39-k5-r12_2_5_2.00,186.83,164.21,1.02
B-n39-k5-r12_3_5_0.50,186.87,164.21,1.12
B-n39-k5-r12_3_5_1.00,191.40,164.21,0.87
B-n39-k5-r12_3_5_2.00,189.61,164.21,0.76
B-n39-k5-r16_1_2_0.50,219.27,194.08,1.13
B-n39-k5-r16_1_2_1.00,225.28,210.12,1.19
B-n39-k5-r16_1_2_2.00,240.97,169.40,1.27
B-n39-k5-r16_2_2_0.50,216.34,212.37,1.08
B-n39-k5-r16_2_2_1.00,197.92,188.77,1.25
B-n39-k5-r16_2_2_2.00,195.17,184.82,1.38
B-n39-k5-r16_3_2_0.50,223.87,208.21,1.17
B-n39-k5-r16_3_2_1.00,247.31,191.08,1.25
B-n39-k5-r16_3_2_2.00,221.49,183.21,1.40
B-n39-k5-r16_1_3_0.50,219.96,191.83,1.14
B-n39-k5-r16_1_3_1.00,191.57,180.03,1.31
B-n39-k5-r16_1_3_2.00,193.89,160.84,0.76
B-n39-k5-r16_2_3_0.50,227.89,187.16,1.68
B-n39-k5-r16_2_3_1.00,187.15,160.84,1.15
B-n39-k5-r16_2_3_2.00,197.24,160.84,0.92
B-n39-k5-r16_3_3_0.50,200.44,181.33,1.04
B-n39-k5-r16_3_3_1.00,201.78,160.84,0.76
B-n39-k5-r16_3_3_2.00,205.19,160.84,0.80
B-n39-k5-r16_1_4_0.50,193.18,186.70,1.84
B-n39-k5-r16_1_4_1.00,212.28,178.28,0.91
B-n39-k5-r16_1_4_2.00,189.61,160.84,0.77
B-n39-k5-r16_2_4_0.50,195.01,181.57,0.76
B-n39-k5-r16_2_4_1.00,180.01,160.84,0.78
B-n39-k5-r16_2_4_2.00,160.84,160.84,0.69
B-n39-k5-r16_3_4_0.50,186.87,178.28,0.70
B-n39-k5-r16_3_4_1.00,189.94,160.84,0.80
B-n39-k5-r16_3_4_2.00,193.27,160.84,0.82
B-n39-k5-r16_1_5_0.50,192.89,186.70,0.87
B-n39-k5-r16_1_5_1.00,182.76,178.28,0.89
B-n39-k5-r16_1_5_2.00,189.61,160.84,0.86
B-n39-k5-r16_2_5_0.50,214.20,181.57,1.07
B-n39-k5-r16_2_5_1.00,186.70,160.84,1.27
B-n39-k5-r16_2_5_2.00,192.31,160.84,0.95
B-n39-k5-r16_3_5_0.50,190.82,172.53,0.85
B-n39-k5-r16_3_5_1.00,176.38,160.84,0.83
B-n39-k5-r16_3_5_2.00,208.73,160.84,0.83
B-n41-k6-r8_1_2_0.50,260.34,239.99,1.82
B-n41-k6-r8_1_2_1.00,263.83,235.01,2.22
B-n41-k6-r8_1_2_2.00,264.05,212.40,0.82
B-n41-k6-r8_2_2_0.50,265.81,213.37,1.28
B-n41-k6-r8_2_2_1.00,242.76,215.56,1.10
B-n41-k6-r8_2_2_2.00,267.61,212.40,1.93
B-n41-k6-r8_3_2_0.50,235.56,213.06,2.35
B-n41-k6-r8_3_2_1.00,255.20,215.56,0.78
B-n41-k6-r8_3_2_2.00,264.98,212.40,1.65
B-n41-k6-r8_1_3_0.50,214.79,182.06,1.91
B-n41-k6-r8_1_3_1.00,203.66,188.20,0.98
B-n41-k6-r8_1_3_2.00,262.31,188.20,1.36
B-n41-k6-r8_2_3_0.50,225.19,188.20,1.15
B-n41-k6-r8_2_3_1.00,247.75,188.20,0.99
B-n41-k6-r8_2_3_2.00,210.80,184.34,1.79
B-n41-k6-r8_3_3_0.50,247.19,180.48,2.85
B-n41-k6-r8_3_3_1.00,249.22,188.20,1.74
B-n41-k6-r8_3_3_2.00,205.95,184.34,2.40
B-n41-k6-r8_1_4_0.50,240.32,170.25,2.52
B-n41-k6-r8_1_4_1.00,195.59,168.73,1.34
B-n41-k6-r8_1_4_2.00,170.17,168.72,1.48
B-n41-k6-r8_2_4_0.50,226.42,170.17,1.07
B-n41-k6-r8_2_4_1.00,194.55,168.72,1.22
B-n41-k6-r8_2_4_2.00,193.96,168.72,1.13
B-n41-k6-r8_3_4_0.50,187.42,168.73,1.57
B-n41-k6-r8_3_4_1.00,213.22,168.72,1.36
B-n41-k6-r8_3_4_2.00,170.54,168.72,1.06
B-n41-k6-r8_1_6_0.50,169.90,168.44,0.92
B-n41-k6-r8_1_6_1.00,196.15,168.44,0.82
B-n41-k6-r8_1_6_2.00,172.22,168.44,0.84
B-n41-k6-r8_2_6_0.50,196.16,168.44,0.78
B-n41-k6-r8_2_6_1.00,207.55,168.44,0.72
B-n41-k6-r8_2_6_2.00,168.72,168.44,0.71
B-n41-k6-r8_3_6_0.50,172.13,168.44,0.73
B-n41-k6-r8_3_6_1.00,168.57,168.44,0.67
B-n41-k6-r8_3_6_2.00,171.59,168.44,0.68
B-n41-k6-r12_1_2_0.50,266.03,245.11,1.46
B-n41-k6-r12_1_2_1.00,252.39,213.41,1.37
B-n41-k6-r12_1_2_2.00,216.92,206.57,1.18
B-n41-k6-r12_2_2_0.50,266.42,210.61,0.91
B-n41-k6-r12_2_2_1.00,289.89,243.11,0.89
B-n41-k6-r12_2_2_2.00,258.78,213.22,1.96
B-n41-k6-r12_3_2_0.50,246.70,213.12,0.86
B-n41-k6-r12_3_2_1.00,266.58,243.11,0.76
B-n41-k6-r12_3_2_2.00,266.40,205.64,1.60
B-n41-k6-r12_1_3_0.50,250.16,186.77,1.49
B-n41-k6-r12_1_3_1.00,225.17,211.56,0.86
B-n41-k6-r12_1_3_2.00,206.51,169.30,0.96
B-n41-k6-r12_2_3_0.50,185.74,180.12,0.98
B-n41-k6-r12_2_3_1.00,218.80,169.30,1.07
B-n41-k6-r12_2_3_2.00,229.52,169.30,1.21
B-n41-k6-r12_3_3_0.50,220.03,174.56,1.92
B-n41-k6-r12_3_3_1.00,204.05,169.30,0.99
B-n41-k6-r12_3_3_2.00,256.49,172.12,0.91
B-n41-k6-r12_1_4_0.50,212.75,167.35,0.96
B-n41-k6-r12_1_4_1.00,206.22,160.16,1.80
B-n41-k6-r12_1_4_2.00,206.48,152.84,0.83
B-n41-k6-r12_2_4_0.50,190.49,160.42,2.15
B-n41-k6-r12_2_4_1.00,183.08,152.84,0.85
B-n41-k6-r12_2_4_2.00,212.64,152.84,0.78
B-n41-k6-r12_3_4_0.50,191.54,153.20,0.90
B-n41-k6-r12_3_4_1.00,182.51,152.84,0.78
B-n41-k6-r12_3_4_2.00,212.49,152.84,0.86
B-n41-k6-r12_1_6_0.50,200.28,158.81,0.90
B-n41-k6-r12_1_6_1.00,201.86,152.84,1.48
B-n41-k6-r12_1_6_2.00,184.75,148.54,1.69
B-n41-k6-r12_2_6_0.50,170.07,152.84,0.92
B-n41-k6-r12_2_6_1.00,164.68,152.84,1.56
B-n41-k6-r12_2_6_2.00,166.92,146.78,1.05
B-n41-k6-r12_3_6_0.50,164.31,152.84,0.81
B-n41-k6-r12_3_6_1.00,208.52,146.78,1.02
B-n41-k6-r12_3_6_2.00,158.81,152.84,0.73
B-n41-k6-r16_1_2_0.50,283.93,245.04,1.88
B-n41-k6-r16_1_2_1.00,257.42,234.19,1.87
B-n41-k6-r16_1_2_2.00,245.70,209.08,1.27
B-n41-k6-r16_2_2_0.50,269.86,218.33,1.36
B-n41-k6-r16_2_2_1.00,265.56,206.18,1.24
B-n41-k6-r16_2_2_2.00,253.09,191.85,1.33
B-n41-k6-r16_3_2_0.50,284.89,211.36,3.07
B-n41-k6-r16_3_2_1.00,270.88,189.19,2.97
B-n41-k6-r16_3_2_2.00,285.36,205.88,4.27
B-n41-k6-r16_1_3_0.50,195.87,193.95,0.81
B-n41-k6-r16_1_3_1.00,216.39,176.05,1.36
B-n41-k6-r16_1_3_2.00,194.12,172.20,1.30
B-n41-k6-r16_2_3_0.50,262.30,188.31,1.14
B-n41-k6-r16_2_3_1.00,251.96,165.26,2.68
B-n41-k6-r16_2_3_2.00,200.58,165.63,0.93
B-n41-k6-r16_3_3_0.50,202.86,169.59,1.35
B-n41-k6-r16_3_3_1.00,226.07,165.63,1.25
B-n41-k6-r16_3_3_2.00,259.19,163.25,1.85
B-n41-k6-r16_1_4_0.50,213.73,168.68,1.01
B-n41-k6-r16_1_4_1.00,197.14,167.53,1.53
B-n41-k6-r16_1_4_2.00,237.79,158.89,1.02
B-n41-k6-r16_2_4_0.50,202.82,167.48,1.45
B-n41-k6-r16_2_4_1.00,177.06,157.65,1.07
B-n41-k6-r16_2_4_2.00,178.66,156.19,0.86
B-n41-k6-r16_3_4_0.50,192.84,157.70,1.66
B-n41-k6-r16_3_4_1.00,168.91,156.19,0.92
B-n41-k6-r16_3_4_2.00,200.54,156.19,1.08
B-n41-k6-r16_1_6_0.50,182.67,156.19,1.17
B-n41-k6-r16_1_6_1.00,172.99,156.19,0.80
B-n41-k6-r16_1_6_2.00,186.43,156.19,0.86
B-n41-k6-r16_2_6_0.50,173.08,157.71,0.82
B-n41-k6-r16_2_6_1.00,211.63,156.19,0.79
B-n41-k6-r16_2_6_2.00,157.36,156.19,0.79
B-n41-k6-r16_3_6_0.50,189.63,156.19,0.76
B-n41-k6-r16_3_6_1.00,168.64,156.19,0.72
B-n41-k6-r16_3_6_2.00,181.66,156.19,0.75
B-n43-k6-r8_1_2_0.50,238.63,194.57,1.61
B-n43-k6-r8_1_2_1.00,205.82,193.27,0.88
B-n43-k6-r8_1_2_2.00,248.56,214.41,0.88
B-n43-k6-r8_2_2_0.50,205.43,193.27,1.09
B-n43-k6-r8_2_2_1.00,203.67,190.87,1.43
B-n43-k6-r8_2_2_2.00,234.58,187.91,1.40
B-n43-k6-r8_3_2_0.50,205.34,193.27,1.34
B-n43-k6-r8_3_2_1.00,221.84,190.87,1.37
B-n43-k6-r8_3_2_2.00,224.17,193.27,1.03
B-n43-k6-r8_1_3_0.50,178.44,174.12,1.58
B-n43-k6-r8_1_3_1.00,183.82,175.22,0.87
B-n43-k6-r8_1_3_2.00,200.80,185.52,0.80
B-n43-k6-r8_2_3_0.50,205.61,168.98,2.29
B-n43-k6-r8_2_3_1.00,180.18,174.12,1.29
B-n43-k6-r8_2_3_2.00,201.93,174.12,0.86
B-n43-k6-r8_3_3_0.50,207.08,162.91,1.18
B-n43-k6-r8_3_3_1.00,176.58,168.98,0.91
B-n43-k6-r8_3_3_2.00,185.10,166.58,1.85
B-n43-k6-r8_1_4_0.50,174.31,166.58,0.78
B-n43-k6-r8_1_4_1.00,174.68,157.06,1.54
B-n43-k6-r8_1_4_2.00,163.96,155.20,0.74
B-n43-k6-r8_2_4_0.50,182.01,155.21,0.99
B-n43-k6-r8_2_4_1.00,168.88,155.20,0.84
B-n43-k6-r8_2_4_2.00,180.28,162.91,0.73
B-n43-k6-r8_3_4_0.50,205.29,155.20,0.85
B-n43-k6-r8_3_4_1.00,162.37,155.20,0.97
B-n43-k6-r8_3_4_2.00,174.12,155.20,0.98
B-n43-k6-r8_1_6_0.50,157.56,152.80,0.88
B-n43-k6-r8_1_6_1.00,172.93,152.80,0.71
B-n43-k6-r8_1_6_2.00,160.66,152.80,0.71
B-n43-k6-r8_2_6_0.50,166.68,152.80,0.72
B-n43-k6-r8_2_6_1.00,168.09,152.80,0.78
B-n43-k6-r8_2_6_2.00,159.57,152.80,0.69
B-n43-k6-r8_3_6_0.50,166.92,152.80,0.70
B-n43-k6-r8_3_6_1.00,171.67,152.80,0.72
B-n43-k6-r8_3_6_2.00,157.59,152.80,0.74
B-n43-k6-r12_1_2_0.50,222.02,196.12,1.18
B-n43-k6-r12_1_2_1.00,209.73,186.87,1.06
B-n43-k6-r12_1_2_2.00,234.18,185.39,1.42
B-n43-k6-r12_2_2_0.50,225.23,193.74,1.24
B-n43-k6-r12_2_2_1.00,218.24,182.87,2.67
B-n43-k6-r12_2_2_2.00,222.99,182.52,1.51
B-n43-k6-r12_3_2_0.50,261.10,184.76,3.00
B-n43-k6-r12_3_2_1.00,229.70,182.52,1.20
B-n43-k6-r12_3_2_2.00,236.47,182.52,1.03
B-n43-k6-r12_1_3_0.50,202.79,176.13,2.34
B-n43-k6-r12_1_3_1.00,196.50,178.12,2.61
B-n43-k6-r12_1_3_2.00,205.25,169.61,1.39
B-n43-k6-r12_2_3_0.50,199.23,174.12,1.35
B-n43-k6-r12_2_3_1.00,180.56,167.68,1.42
B-n43-k6-r12_2_3_2.00,213.28,175.22,0.92
B-n43-k6-r12_3_3_0.50,208.28,176.73,1.57
B-n43-k6-r12_3_3_1.00,200.10,175.22,1.15
B-n43-k6-r12_3_3_2.00,196.42,175.22,0.78
B-n43-k6-r12_1_4_0.50,189.42,159.84,1.00
B-n43-k6-r12_1_4_1.00,172.48,158.64,1.78
B-n43-k6-r12_1_4_2.00,166.63,158.59,0.78
B-n43-k6-r12_2_4_0.50,195.25,158.90,1.65
B-n43-k6-r12_2_4_1.00,183.23,153.90,1.06
B-n43-k6-r12_2_4_2.00,179.05,158.59,1.36
B-n43-k6-r12_3_4_0.50,200.49,158.64,1.25
B-n43-k6-r12_3_4_1.00,177.28,158.59,0.96
B-n43-k6-r12_3_4_2.00,170.39,166.58,0.85
B-n43-k6-r12_1_6_0.50,165.08,152.80,0.69
B-n43-k6-r12_1_6_1.00,172.10,152.80,0.69
B-n43-k6-r12_1_6_2.00,157.28,152.80,0.68
B-n43-k6-r12_2_6_0.50,169.60,152.80,0.74
B-n43-k6-r12_2_6_1.00,176.28,152.80,1.34
B-n43-k6-r12_2_6_2.00,156.57,152.80,0.75
B-n43-k6-r12_3_6_0.50,166.58,152.80,0.91
B-n43-k6-r12_3_6_1.00,156.31,152.80,0.99
B-n43-k6-r12_3_6_2.00,160.56,152.80,0.71
B-n43-k6-r16_1_2_0.50,233.67,197.53,1.10
B-n43-k6-r16_1_2_1.00,204.45,185.73,1.41
B-n43-k6-r16_1_2_2.00,214.48,167.18,1.67
B-n43-k6-r16_2_2_0.50,209.73,191.10,2.61
B-n43-k6-r16_2_2_1.00,230.16,188.71,2.07
B-n43-k6-r16_2_2_2.00,217.63,167.18,0.91
B-n43-k6-r16_3_2_0.50,238.56,175.75,1.40
B-n43-k6-r16_3_2_1.00,207.01,167.76,3.11
B-n43-k6-r16_3_2_2.00,192.18,168.68,1.90
B-n43-k6-r16_1_3_0.50,199.05,176.38,1.43
B-n43-k6-r16_1_3_1.00,193.29,164.80,2.80
B-n43-k6-r16_1_3_2.00,198.14,156.98,1.07
B-n43-k6-r16_2_3_0.50,209.64,165.96,1.37
B-n43-k6-r16_2_3_1.00,192.76,163.88,0.86
B-n43-k6-r16_2_3_2.00,178.22,163.88,0.83
B-n43-k6-r16_3_3_0.50,213.76,170.82,3.31
B-n43-k6-r16_3_3_1.00,208.86,152.07,1.63
B-n43-k6-r16_3_3_2.00,198.66,163.88,1.02
B-n43-k6-r16_1_4_0.50,186.30,156.15,1.24
B-n43-k6-r16_1_4_1.00,177.53,151.84,1.81
B-n43-k6-r16_1_4_2.00,172.29,153.29,1.30
B-n43-k6-r16_2_4_0.50,176.28,159.51,1.43
B-n43-k6-r16_2_4_1.00,161.56,146.21,1.65
B-n43-k6-r16_2_4_2.00,180.91,145.48,1.09
B-n43-k6-r16_3_4_0.50,177.14,153.28,1.87
B-n43-k6-r16_3_4_1.00,182.30,145.48,1.81
B-n43-k6-r16_3_4_2.00,168.71,145.48,0.91
B-n43-k6-r16_1_6_0.50,184.49,145.48,0.97
B-n43-k6-r16_1_6_1.00,162.42,145.48,0.98
B-n43-k6-r16_1_6_2.00,149.01,145.48,0.81
B-n43-k6-r16_2_6_0.50,162.55,145.48,0.79
B-n43-k6-r16_2_6_1.00,155.80,145.48,0.81
B-n43-k6-r16_2_6_2.00,145.48,141.61,1.21
B-n43-k6-r16_3_6_0.50,159.85,145.48,0.83
B-n43-k6-r16_3_6_1.00,157.76,145.48,0.86
B-n43-k6-r16_3_6_2.00,154.88,143.41,1.68
B-n44-k7-r8_1_2_0.50,233.13,183.31,1.00
B-n44-k7-r8_1_2_1.00,214.91,172.10,3.08
B-n44-k7-r8_1_2_2.00,208.11,178.83,1.00
B-n44-k7-r8_2_2_0.50,229.02,180.38,1.67
B-n44-k7-r8_2_2_1.00,212.83,172.10,2.59
B-n44-k7-r8_2_2_2.00,249.75,172.10,2.19
B-n44-k7-r8_3_2_0.50,246.79,172.10,1.74
B-n44-k7-r8_3_2_1.00,213.78,180.81,51.78
B-n44-k7-r8_3_2_2.00,193.23,178.83,1.10
B-n44-k7-r8_1_3_0.50,175.25,171.63,2.95
B-n44-k7-r8_1_3_1.00,178.75,161.58,2.63
B-n44-k7-r8_1_3_2.00,204.29,158.75,3.09
B-n44-k7-r8_2_3_0.50,181.31,163.98,1.14
B-n44-k7-r8_2_3_1.00,170.52,159.02,1.02
B-n44-k7-r8_2_3_2.00,223.58,159.02,2.73
B-n44-k7-r8_3_3_0.50,179.86,158.75,1.84
B-n44-k7-r8_3_3_1.00,187.15,158.75,2.10
B-n44-k7-r8_3_3_2.00,215.07,166.27,1.85
B-n44-k7-r8_1_4_0.50,180.99,165.67,1.18
B-n44-k7-r8_1_4_1.00,165.72,165.07,1.02
B-n44-k7-r8_1_4_2.00,182.96,158.75,1.57
B-n44-k7-r8_2_4_0.50,190.94,158.33,1.64
B-n44-k7-r8_2_4_1.00,201.10,158.75,1.11
B-n44-k7-r8_2_4_2.00,173.34,156.92,0.92
B-n44-k7-r8_3_4_0.50,182.63,156.92,0.86
B-n44-k7-r8_3_4_1.00,186.23,158.75,0.72
B-n44-k7-r8_3_4_2.00,202.07,158.75,0.77
B-n44-k7-r8_1_7_0.50,166.92,163.73,0.75
B-n44-k7-r8_1_7_1.00,167.52,158.32,1.22
B-n44-k7-r8_1_7_2.00,170.12,156.92,0.72
B-n44-k7-r8_2_7_0.50,172.74,158.32,0.87
B-n44-k7-r8_2_7_1.00,158.75,156.92,0.72
B-n44-k7-r8_2_7_2.00,180.57,156.92,0.92
B-n44-k7-r8_3_7_0.50,162.83,156.92,0.77
B-n44-k7-r8_3_7_1.00,176.34,156.92,0.79
B-n44-k7-r8_3_7_2.00,162.83,156.92,0.75
B-n44-k7-r12_1_2_0.50,220.55,180.01,2.31
B-n44-k7-r12_1_2_1.00,241.44,168.45,3.88
B-n44-k7-r12_1_2_2.00,189.89,162.39,2.10
B-n44-k7-r12_2_2_0.50,247.84,172.02,3.87
B-n44-k7-r12_2_2_1.00,206.69,165.89,2.69
B-n44-k7-r12_2_2_2.00,236.98,164.45,1.19
B-n44-k7-r12_3_2_0.50,233.32,163.24,3.98
B-n44-k7-r12_3_2_1.00,226.36,162.39,2.43
B-n44-k7-r12_3_2_2.00,220.41,165.35,2.75
B-n44-k7-r12_1_3_0.50,223.04,171.72,1.08
B-n44-k7-r12_1_3_1.00,200.31,163.76,1.16
B-n44-k7-r12_1_3_2.00,209.97,156.45,1.76
B-n44-k7-r12_2_3_0.50,171.39,165.34,1.80
B-n44-k7-r12_2_3_1.00,176.92,154.90,1.20
B-n44-k7-r12_2_3_2.00,208.11,154.90,1.14
B-n44-k7-r12_3_3_0.50,179.56,157.36,0.98
B-n44-k7-r12_3_3_1.00,178.69,155.14,1.45
B-n44-k7-r12_3_3_2.00,187.49,154.90,1.07
B-n44-k7-r12_1_4_0.50,181.90,166.81,0.78
B-n44-k7-r12_1_4_1.00,179.92,158.33,1.62
B-n44-k7-r12_1_4_2.00,167.95,154.90,0.79
B-n44-k7-r12_2_4_0.50,171.48,163.76,1.16
B-n44-k7-r12_2_4_1.00,163.03,154.90,0.76
B-n44-k7-r12_2_4_2.00,181.82,154.90,0.72
B-n44-k7-r12_3_4_0.50,166.71,157.36,0.77
B-n44-k7-r12_3_4_1.00,174.06,154.90,0.73
B-n44-k7-r12_3_4_2.00,179.41,154.90,0.75
B-n44-k7-r12_1_7_0.50,168.83,163.68,1.62
B-n44-k7-r12_1_7_1.00,172.28,162.83,0.85
B-n44-k7-r12_1_7_2.00,166.71,154.90,0.69
B-n44-k7-r12_2_7_0.50,181.31,158.32,1.02
B-n44-k7-r12_2_7_1.00,171.45,154.90,0.66
B-n44-k7-r12_2_7_2.00,174.95,154.90,0.71
B-n44-k7-r12_3_7_0.50,166.67,154.90,0.78
B-n44-k7-r12_3_7_1.00,154.90,154.90,0.68
B-n44-k7-r12_3_7_2.00,166.71,154.90,0.73
B-n44-k7-r16_1_2_0.50,212.47,188.20,1.16
B-n44-k7-r16_1_2_1.00,191.68,177.81,1.28
B-n44-k7-r16_1_2_2.00,205.72,165.96,1.64
B-n44-k7-r16_2_2_0.50,202.60,181.34,0.88
B-n44-k7-r16_2_2_1.00,207.11,165.03,1.83
B-n44-k7-r16_2_2_2.00,205.71,164.86,1.45
B-n44-k7-r16_3_2_0.50,205.43,173.41,2.15
B-n44-k7-r16_3_2_1.00,205.11,167.04,2.68
B-n44-k7-r16_3_2_2.00,251.82,165.96,3.20
B-n44-k7-r16_1_3_0.50,202.13,166.59,1.00
B-n44-k7-r16_1_3_1.00,182.36,164.22,1.25
B-n44-k7-r16_1_3_2.00,180.84,165.63,0.87
B-n44-k7-r16_2_3_0.50,178.66,165.49,1.04
B-n44-k7-r16_2_3_1.00,237.22,164.03,2.12
B-n44-k7-r16_2_3_2.00,208.91,164.03,0.93
B-n44-k7-r16_3_3_0.50,181.17,164.22,1.71
B-n44-k7-r16_3_3_1.00,184.99,164.03,0.79
B-n44-k7-r16_3_3_2.00,217.77,164.03,0.84
B-n44-k7-r16_1_4_0.50,199.26,164.22,1.12
B-n44-k7-r16_1_4_1.00,172.19,164.03,0.96
B-n44-k7-r16_1_4_2.00,171.58,164.03,0.74
B-n44-k7-r16_2_4_0.50,174.59,164.22,0.77
B-n44-k7-r16_2_4_1.00,173.41,164.03,0.96
B-n44-k7-r16_2_4_2.00,165.47,164.03,0.73
B-n44-k7-r16_3_4_0.50,175.24,164.22,0.87
B-n44-k7-r16_3_4_1.00,178.63,164.03,0.74
B-n44-k7-r16_3_4_2.00,182.54,164.03,0.76
B-n44-k7-r16_1_7_0.50,175.05,164.03,0.77
B-n44-k7-r16_1_7_1.00,165.58,164.03,0.70
B-n44-k7-r16_1_7_2.00,168.81,164.03,0.74
B-n44-k7-r16_2_7_0.50,172.57,164.03,0.72
B-n44-k7-r16_2_7_1.00,174.06,164.03,0.72
B-n44-k7-r16_2_7_2.00,165.58,164.03,0.73
B-n44-k7-r16_3_7_0.50,166.71,164.03,0.71
B-n44-k7-r16_3_7_1.00,166.71,164.03,0.78
B-n44-k7-r16_3_7_2.00,168.14,164.03,0.72
B-n45-k5-r8_1_2_0.50,307.79,257.80,2.75
B-n45-k5-r8_1_2_1.00,289.77,262.70,1.45
B-n45-k5-r8_1_2_2.00,306.08,255.64,2.37
B-n45-k5-r8_2_2_0.50,280.83,265.95,1.86
B-n45-k5-r8_2_2_1.00,269.68,243.45,0.92
B-n45-k5-r8_2_2_2.00,308.67,290.88,1.00
B-n45-k5-r8_3_2_0.50,280.69,256.11,1.72
B-n45-k5-r8_3_2_1.00,296.97,249.62,2.09
B-n45-k5-r8_3_2_2.00,346.39,243.45,1.63
B-n45-k5-r8_1_3_0.50,264.78,211.58,0.77
B-n45-k5-r8_1_3_1.00,237.89,200.90,2.01
B-n45-k5-r8_1_3_2.00,238.79,211.58,1.87
B-n45-k5-r8_2_3_0.50,224.25,202.30,1.21
B-n45-k5-r8_2_3_1.00,230.74,200.90,0.98
B-n45-k5-r8_2_3_2.00,239.30,200.90,1.02
B-n45-k5-r8_3_3_0.50,252.15,200.90,1.04
B-n45-k5-r8_3_3_1.00,223.27,211.58,0.73
B-n45-k5-r8_3_3_2.00,225.74,211.58,0.75
B-n45-k5-r8_1_4_0.50,198.14,175.98,0.81
B-n45-k5-r8_1_4_1.00,196.89,174.01,0.74
B-n45-k5-r8_1_4_2.00,206.19,174.01,1.30
B-n45-k5-r8_2_4_0.50,216.67,174.01,0.75
B-n45-k5-r8_2_4_1.00,235.28,174.01,0.84
B-n45-k5-r8_2_4_2.00,228.15,174.01,0.74
B-n45-k5-r8_3_4_0.50,211.99,174.01,0.83
